username,password,email,first_name,last_name,phone_number
jennifer_23,P@ssw0rd1,jennifer_23@example.com,Jennifer,Smith,1234567890
michael_brown,Secur3P@ss,michael_brown@example.com,Michael,Brown,9876543211
sophie_jackson,MyP@ssw0rd,sophie_jackson@example.com,Sophie,Jackson,5551234567
andrew_87,Str0ngP@ss!,andrew_87@example.com,Andrew,Johnson,2468135792
natalie_wilson,P@ssw0rd123,natalie_wilson@example.com,Natalie,Wilson,3698521473
david_45,MyP@ssw0rd,david_45@example.com,David,Anderson,9876543214
olivia_green,IloveCats123,olivia_green@example.com,Olivia,Green,1234567895
william_king,Sup3rhero!,william_king@example.com,William,King,5551234568
emma_jones,J0yfulP@ss!,emma_jones@example.com,Emma,Jones,3698521479
alexander_smith,Br0wn12!3,alexander_smith@example.com,Alexander,Smith,9876543210
